Index,item_id,seller_id,listing_title,listing_description,listing_price,category_sk,category_l1_name_en,category_l2_name_en,category_l3_name_en,listing_latitude,listing_longitude
9483,9483,8080,3 in 1 Mima complete edition stroller with starter pack,"I Am selling the Mima Xari baby stroller is a unique, elegant and compact stroller that offers a comfortable and accommodating ride for both parent and baby.its brand new in their boxes it has never been opened with complete accessories and starter pack wi",7809,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-23.66255,28.97324
9491,9491,8086,Toddlers bed for sale,"Cream toddlers bed for sale,  Very good condition,  no longer needed.

Cash - R500.00",500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.05858,27.97539
9732,9732,8279,Doll play house,Play house in excellent  condition,600,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.94234,30.95608
9735,9735,8282,Kids Bed,Children double corner bed with homework desk,6000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.86403,28.08886
9782,9782,8316,3in1 babyrocker for sale,very good condition.,400,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.86403,28.08886
10039,10039,8514,Graco deluxe travel system,Graco Quattro Deluxe Travel System for sale This pram comes with a car seat that fits into the pram. The car seat clips into the pram making it perfect for an infant. The pram has a display which shows you the time and the temperature. It is in a good cond,2000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.81063,28.31697
10054,10054,8523,Jacket,Black not genuine leather jacket,150,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.777,29.47016
10216,10216,8641,Compactum,"Baby 3in 1
Bath
Changing Mat
Shelfs",500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.98377,22.46193
10247,10247,8668,Silicone babby bottel nippels,"Playtex Advanced 2 silicone nipples. Shop price R47. I sell it for R30 a packet.
Florida Roodepoort.
0828078797",31,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.1719,27.91318
10590,10590,8916,Educational Toys for Pre Schools and Grade R RR RRR,Brand new educational items for sale for pre schools and day care centres,100,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-26.16003,27.86631
10725,10725,9024,Baby strall for sale,Make an offer. It's still new. Was used for six months,1500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.5882,28.0069
10804,10804,9082,Walking ring,Very good condition,600,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.15109,28.36957
10872,10872,9136,Mini mouse chair,0-6 year old mini mouse chair,600,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.66581,27.22646
11002,11002,9234,Mickey Mouse potty,"Mickey Mouse potty. Play music when you flush
Practically new, my son refused to use it. Paid R600, looking for R300",300,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.85893,30.99624
11198,11198,9376,Baby stroller,Titanium baby stroller,500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.13184,26.19502
11248,11247,9404,Chicco Isofix car seat,Chicco Isofix car seat ajustable  headrest and seat reclines from  6 months to  5 years or 18 kg not negotiable no emails,1000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.91478,18.41789
11405,11404,9517,Pram for sale,Pram in good condition,650,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.15049,27.98933
11515,11514,9602,Bmw baby car seat (ISOFIX),"Bmw baby car seat with Isofix - hardly used
New price R 6300.00
Wanting R 3500.00",3500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.84962,31.02204
11568,11567,9646,Chelino baby cot,"Chelino cot bed for sale still brand new bought at R1700 only used once and later had to move to a new smaller place. Collections in Soweto, or we can arrange to meet in jhb cbd\Marshaltown",1100,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.20293,28.05273
11595,11594,8578,Baby 4 in 1 play toy,In good condition  fully operational kids learning and explore panel call or sms if interested,150,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-26.13934,28.2088
11639,11638,9700,Baby blankets,Baby blankies all R100 or R25 each.,25,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-26.09441,28.22927
12007,12006,9973,Boys Trackpant,"Ackermans Brand

R20

we wholesale clothing

0791581103",20,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-26.14384,27.99519
12136,12135,10070,Bakugan themed rain boots (size 13),Orange Bakugan themed rain boots.  Size 13,40,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-34.01119,18.50921
12187,12186,10109,Graco Ultima Plus Travel system. As new R2000 onco.,"All still in excellent working condition. With all excesories and books. Also a very warm sleeping bag that fits in the chair. See pics for details. 

Contact CJ on 084 602 8330. Also on WhatsApp.",2000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.81479,18.72446
12270,12269,10179,Toddler swing,Toddler swing by Hedstrom.,400,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.76985,28.25997
12271,12270,4064,superwood cot,White cot with two large drawers at the bottom with new mattress in good condition R2000 negotiable,2000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-34.07076,18.46321
12319,12318,4276,Wooden Baby Cot S023547A,Wooden Baby Cot with mattress in good condition,799,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.2041,28.04731
12390,12389,10266,iCandy Peach 2 in Black Magic with accessories,iCandy Peach 2 in Black Magic with accessories,2000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.60999,27.79597
12444,12443,10306,Branded baby girl Clothes,Lots of branded baby girl clothes. Prices and sizes on photos.  I also have boys and maternity clothes.,50,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-25.81063,28.31697
12518,12517,10357,Dreambaby liberty security gate,Dreambaby liberty security gate. Brand new. Never been used. The box / packaging is a little soiled. R500 Please call or watsapp me on,500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.15109,28.36957
12569,12568,10393,Toddler Spider Man Bed,Toddler bedjie . Skaar 4 maande oud. My kind het n maand max geslaap op hom. Ek gee matras by hy nooit op di matras geslaap ni hy het op di duvet geslaap.Rede vir verkoop hy het n enkel bed gekry. Bufflespoot area . Ek kan die bed aflaai op n sondag slegs ,800,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-25.60999,27.79597
12686,12685,10474,I'm sale weeler and walker,I sale a weeler and a walker in good condition.,650,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.20293,28.05273
12706,12705,4387,minnie mouse bed with mattress,"Minnie mouse bed with mattress. In a very condition. Urgent sale. R1,500",123,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.91802,30.83841
12740,12739,10510,baby body suits - 0 to 24 months,"Baby body suits in 3 colors
100% cotton 
Branded and Imported
Limited stock in hand  115 pieces
Price can be negotiable (5 pieces for a pack)
Available sizes 
0 - 2 months
2 - 6 months
12 - 24 months",160,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-26.13263,28.17663
12774,12773,10534,Solid Wood Baby Cot,Baby cot for sale. Includes mattress and all blankets. R950. Phone calls only 0812306391. If you are seeing this ad it is still available.,950,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.78704,31.02204
12810,12809,5014,Toy Pizza,Early Learning Centre Toy Pizza - Brand new and never been opened. Collection in Midrand during office hours OR postage/courier at your own cost,80,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.99918,28.12629
12968,12967,2184,Kids Tricycle : Brand new! !,"Cool and fun! Educative and stylish. Suitable for ages 2 +

Cheap and reliable! 

Warranty agreement incl. 

Nationwide delivery! 

Call / Whatsapp : 0843167573.",250,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.20221,28.00104
13276,13275,10902,Snuggle Time Car seat cover,"Blue zip snuggle time cover. Easy cover for baby car seat
reversible 
ideal for windy and cold weather",200,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.16003,27.86631
13327,13326,10934,Compressor nebulizer,Compressor nebulizer. Complete nebulizer kit. Good condition.,250,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.71206,28.15639
13380,13379,10974,Camping Cot,"Camping cot, never been used,was a present and we already bought one for our baby",480,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.13184,26.19502
13445,13444,11020,Soccer jumpsuits for sale,"Hey there 

I am selling  Soccer  Jumpsuits for kids From R280 to R330.
I have Kaizer chiefs and Orlando pirates jumpsuits  in stock.

Please contact me  on 0848120211 to place your order.

Thanks.",280,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-26.12014,27.90147
13491,13490,6006,Naartjie shirt and skirt set,Size 3-4. Can whatsapp 0826024231,50,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-33.85079,25.63323
13714,13713,11209,Wooden cot bed,Well looked after cot bed in very good condition,600,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.9321,18.86015
13729,13728,8442,AngelCare monitor set,"3 peace AngelCare Monitor.

Includes a heart detector pad",750,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.67936,28.19418
13789,13788,11265,Baby Camping Cot,"Baby Camping Cot, never been used (Mother bought New Cot for us) Brown with Lime and Mosquito Net, has Bassinet and Changing Area (with safety latch).",2500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-28.00457,26.77322
13808,13807,11279,Diaper dispenser,Diaper champ diaper dispenser,100,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.74787,28.22927
13946,13945,11374,Baby Travel bundle,"Peg Perego Travel System, Camp cot and Maclaren stroller all for only R4000.00",4000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.05032,27.96298
14020,14019,11431,dream tubes or bed rails,brand new dream tubes.just the same as bed rails only safer.easy to install .,250,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.14384,27.99519
14108,14107,11490,Activity table for toddler,"Activity table with loads of buttons and things to keep a little one interested for ages. It has animal sounds, songs and lights all working perfectly.
Just needs batteries other wise in good condition.",400,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.04317,28.0552
14132,14131,11507,Baby stroller for sale,Quality Baby stroller at wholesale prices,1200,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.85982,26.63175
14143,14142,11517,Medela Mini Electric Breast Pump,Medela mini electric breast pump hardly used,800,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.07197,28.25851
14318,14317,11646,New Medela bustier (white) size Large,Brand new Medela bustier still in box.,350,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.86403,28.08886
14348,14347,11669,Zonic Baby camping cot,Camping cot. Used by 3 babies.,200,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.86403,28.08886
14450,14449,3408,Breast Pump,"Pigeon Breastpump Pro 
In excellent condition 
Hardly used 
Works with electricity and batteries 
Operates very quietly 
Costs R2000 new 
R800 negiotable.",800,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.64048,19.00966
14515,14514,11793,Walker,New Chelino Walker - still in box,400,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.13184,26.19502
14519,14518,4104,Bear camper mint,Bear camper in mint condition,500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.85982,26.63175
14555,14554,11820,Tiny Love Mobile,"Tiny Love Mobile, in working condition",80,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.85276,28.19418
14643,14642,11882,Fisher price jungle bounce chair,Fisher price jungle bounce chair,300,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.09327,28.08739
14723,14722,11940,Sling,In perfect condition,100,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-33.97592,25.58587
14772,14771,11980,Peg Perego Pliko P3 Travel System,"Peg Perego Pliko P3 Travel System
Umbrella fold pram - Easy opening and closing. Backrest reclines flat and footrest is also adjustable. Comes with a bottle holder which clips onto the side of the handle. Decent sized storage basket underneath with storag",2500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.99461,27.99116
14783,14782,11988,Kiepie Crawley swimming aid,Kiepie crawley baby swimming tube.,250,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-26.15109,28.36957
14791,14790,11992,Chicco car seat toddler,In a good condition.9 to 18 kg.,299,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.16477,28.02446
14864,14863,12041,swimming aid,Brand new still in plastic,100,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.13184,26.19502
14872,14871,12047,Baba kot,Goeie kondisie,1500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.86403,28.08886
14883,14882,4559,Disney Walking Ring,"Grey and Pink Winnie the Pooh Walking Ring

Only a few steps on the clock...
Still in new condition",700,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.12014,27.90147
14970,14969,12113,Baby Items,"Feeding chair - R350
Camp cot (no mattress) - R250
A-frame with toys - R150
Pooh vibrating bouncer - R400
Chelino rear facing car seat - R350
Or R850 for everything negotiable",850,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.72446,28.21173
14978,14977,12120,sharpei puppy,ek het opreg sharpei puppy te Koop dus n reuntjie hy is 9 weke oud kn my whatsap vir meer inligting dankie 0611383227,600,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-25.67936,28.19418
15078,15077,12193,High baby chair and bumbo combo,Good condition,1000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.86403,28.08886
15153,15152,12241,baby walking ring,Baby adjustable walking ring,50,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.10367,27.95419
15161,15160,12248,Graco camping cot,Graco pack and play camping cot. As good as new!!!,1200,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.13184,26.19502
15225,15224,12293,Disney baby walker,"Baby walker in good condition, with nursery rhymes, was used for just under two months",1500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.85866,31.02207
15341,15340,12364,bunk bed with desk,Bunk bed in good condition but we selling it without a chair. The price is a bit negotiable and you can contact me on whats app.,1000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.23906,28.083
15504,15503,12475,Toddler girls dresses,14 girls dresses. Size 18-24 months,200,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-26.2709,28.12424
15704,15703,12614,Geox for kids,"Girls brand new Geox shoes from size 11,12 and 13..still new from the price of R899 to R600 coming out with the original box with the original price 
Contact no: 0813038004",600,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-34.01104,25.59179
15751,15750,12649,Kangaroo weeride.com Child/Toddler bicycle seat,"Being in front of you, your child's needs can be heard, seen and attended to more easily while the child's weight enhances rather than impairs bicycle stability due to your child's central position on the bicycle. Weeride offers better communication betwee",600,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.14384,27.99519
15826,15825,12698,Baby cot changer,Selling my unused Baby Cot Changer. Fits nicely on top of cot. Still in its original packaging.,400,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.97983,18.50328
15904,15903,12753,Chelino Baby car seat,Very neat car seat for sale.,400,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.8731,25.50889
15921,15920,12765,FISHERPRICE package deal (1 years old),"LEFT TO RIGHT

RAIN FOREST FRIENDS SPACESAVER JUMPEROO
Features:
Bouncy, Jumping, motor-skill building
Lightweight in a portable, height adjustable space saving design
Retails: R 1999

NEWBORN to TODDLER PLAY GYM
Features:
 3 way ""grow with me""st",3500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.04841,28.02621
15931,15930,7397,Boys Clothing,"PRICED AS A BUNDLE 
Size 5-6 / 6-7
Collection Summer Greens Milnerton 
Contact Ingrid on 0829283601",400,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-33.89219,18.51032
15941,15940,12777,Toddler bed,Toddler bed. Bought in 2016. Still in excellent condition. Mattress included. Please whatsapp me if interested. 0836253858,1300,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.32239,28.12397
15996,15995,12822,Chelino pram in good condition,Second had chelino pram for sale. Only used for 6 months. Price is neg.,550,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.84962,31.02204
16044,16043,12851,Carry cot,Chelino carry cot,200,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.99918,28.12629
16067,16066,26,Blue pram,Blue fold up pram,350,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.10757,28.0567
16180,16179,12943,Breast pump,"Medela swing (single breast) as good as new with various extras included and also 2 sizes flanges. Used for less than a month. If you buy them brand new they are over R 3000 I want R 1700.

Tommee tippee manual pump NEVER been used. I want R 500.

If y",123,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.74787,28.22927
16274,16273,13003,Baby bath station,Like new baby station for sale only used few times,450,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.15747,28.59147
16373,16372,13073,Baby combo,"Only R100 for everything.
Contact 0827765862.",100,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.81019,27.82773
16592,16591,13231,Factory nappies,"Good day I have factory nappies for sale. 
Very good quality and absorbent. I have used these for my own baby girl for the past few months. 

Price is R200 for a 100 nappies.",200,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-26.58536,28.0069
16631,16630,4387,minnie mouse bed with mattress,"Minnie mouse bed with mattress. Good condition. Urgent sale. R1,500",123,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.91802,30.83841
16730,16729,13329,Personal GPS Tracking for Kids,"GPS Tracking Service for  LGTS APKTracker +  E-drive user account in Platform

APKTracker is software to change Android Smart-phone/Tablet into GPS tracker.
Service is dedicated for personal use on Android device(smartphone, tablet, car audi with maxima",742,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-25.74966,28.15615
16883,16882,13432,Kiddies bed,"Very cute kiddies bed with matress, matress protector, duvet, duvet cover andbpillow cover. Very good condition. Best for kids 2 to 5 years old.",750,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.63745,19.44332
16910,16909,13448,2D muurprent,"2m x 1 m prent te koop. Ek het 2 x duvets covers, 2 x kontinentale kussingslope en 2 standaard slope wat alles bymekaar pas wat addisioneel saam geneem kan word.",600,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-25.60999,27.79597
16989,16988,13503,Cot and compactum for sale!,"Beautiful Treehouse cot and compactum for sale. White, excellent condition. Can be bought individually...",5000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.98813,22.45299
17130,17129,13606,Maple melamine cot and matching compactum new,Maple melamine cot and matching compactum,6500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.82639,28.29359
17144,17143,13613,Baby pool,Baby splash pool,150,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.93533,18.46915
17203,17202,13653,Cot and car seat,Both in good condition,1500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.04331,27.86045
17298,17297,13716,Baby milk bottles,"2x baby avent milk bottles for sale 
R250 unwanted
CALL: 0839957565",250,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-29.70279,31.00484
17346,17345,13750,Baba goed te koop,"Baba goed te koop. ASB bel of SMS my op die nommer 0723398239. Ek het klop verslillende goed, pram x2, karstoeltjie, camping kotte x3, groot bad, monitor, loopring, klere en nog klomp goedjies. Ek soek R2000 vir alles of ek sal aparte pryse gee as jy iets ",500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.66923,27.24821
17397,17396,2201,"Snuza Sound, video and movement monitor","Please send a sms, what’s app or email during office hours

Calls are welcome after hours (5 pm to 9 pm)

Item can be collected in Die Wilgers, Pretoria East after 6 pm during the week or on a Saturday between 10 am and 3 pm

I don’t deliver, post or c",950,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.74787,28.22927
17432,17431,13809,Baba monitor te koop,Werk 100%. Monitor te loop vir R 300,300,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.66923,27.24821
17444,17443,2696,Graco signature series travel system,Graco signature travel system in red with car seat,2200,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.72446,28.21173
17513,17512,13857,"baby pram, car chair, feeding chair etc","pram, car chair, camping cot, carry cot, rocker, bottle warmer, sterilizer, play gym, nappy bag, pink baby bag, feeding chair etc (excellent condition) everything to get u started for a new baby!",12000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.16419,28.12982
17553,17552,13886,2x Nania Driver Car Seats,"I am selling 2x Nania Driver Car Seats.
Still in very good condition!!
R500 each",1000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.44083,30.09974
17555,17554,13887,Pink Chelino 6 in 1 cot,"Pink Chelino cot in very good condition

Mosquito net
Carry cot and toy bar
Change mattress
Two level base
Drop side for side access
Rocking features
Wheels with brakes
Removable fabric",1195,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.83013,18.50687
17693,17692,12921,"Graco pram , baby rocker","Graco literider pram good condition R250 , baby rocker R100 car seat R150 call 0842275527 or wattsup 0628013549",250,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.92128,25.55034
17699,17698,13989,Avent electric bottle sterilizer,"Avent - Digital Steriliser 3-in-1 
The easiest way to sterilise. Adjustable Avent steriliser saves space. Our new Avent electric steam steriliser has been designed to make sterilising as simple as possible. With adjustable size, it takes up less kitchen sp",1000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.81063,28.31697
17772,17771,14042,Polar fleece blankets,"Baby and kids polar fleece blankets various prints and sizes available. Baby blanket with pillow R140, baby blanket R100, toddler blanket R140, medium size R180, large R250, coral fleece toddler blanket R180. Postage can be arranged for gauteng R75 extra, ",180,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-26.32736,28.10056
17800,17799,14062,Play gym,Safari play gym. As good as new. Machine washable.,250,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.7038,28.25851
18029,18028,14215,Great gifts for kidz,Character beach towels,140,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown,-29.85866,31.02207
18129,18128,14280,Graco Car Seat,"Graco Car Seat, good condition. been in storage.",1000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.15109,28.36957
18154,18153,14295,Baby stuff,"Chicco pram, Babby carrier, 2car seats, cam coat",1800,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.78704,31.02204
18176,18175,14311,Tiny Love Cot Mobile,Tiny love Cot Mobile with movement and sounds,600,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.90913,28.10642
18409,18408,14452,Pink and black cot,Pink an black cot with net. Travel bag. Changing station. Night light.,400,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.29081,28.32282
18424,18423,7886,Tiny Love 3 in 1 rocker,"BARGAIN! Your little one will love the gentle vibration, rocking and music. Can be converted into a chair. Barely used. Retail price R1,800.
For Sale R900 neg
0716839527",900,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.71392,25.52074
18442,18441,11793,Baby musical toilet chair (multi-function),New musical 2-in-1 chair / toilet- still in packaging (Bloemfontein),170,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.13184,26.19502
18453,18452,14484,Wooden sleigh cot,Wooden sleigh cot for sale - practically brand new!!,5000,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.82639,28.29359
18555,18554,14551,celino kar stoel,Do not need it need the money,600,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.85982,26.63175
18761,18760,13073,Cars themed booster seat,"Good condition.
15-36kg
Contact 0827765862.",700,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.81019,27.82773
18774,18773,14707,Baby Items For new MOMMIES,"Good day I have a new baby bath with seat built in for R300, Baby changer for R200 can use on any cot, baby bath chair for R50, baby potty seat suitable for all toilets R200.

Please contact me on whatapp 0788311115",750,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.15109,28.36957
18776,18775,14709,Baby carrier,Chicco baby carrier : Bloemfontein,200,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-29.13184,26.19502
18809,18808,14733,Angelcare Movement & Sound Baby Monitor,Angelcare Movement & Sound Baby Monitor - Good Working Condition - Selling as no more use for it - Preferably to collect in Amanzimtoti.,800,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-30.10577,30.83841
18889,18888,14787,Baby feeding chair,"navy blue baby feeding chair ,hooks steadily onto dinner table,never been used.Easy to store and travel with.",100,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.74787,28.22927
18950,18949,14825,Cot baby - toddler,"White wooden cot 
From baby - toddler
Detachable side as per picture
With matress",1250,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.91034,18.50988
19043,19042,14890,second hand chelino carseat,Its a bit faded and torn on side but works..,250,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-33.89427,18.62944
19209,19208,15006,Little One Camping Cot,Little One Camping Cot,500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.70342,27.8077
19215,19214,15010,slee cot,Still in good condition,1500,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-26.12014,27.90147
19473,19472,15184,Camping cot,Camping cot excl matress incl manual breastpump set,550,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown,-25.74787,28.22927
