ClusterInformation,Key,listing_title,listing_price
0,"Prams, Cots & Equipment :  Mangaung Metropolitan Municipality",Princess Walking Ring,400
0,"Prams, Cots & Equipment :  Mangaung Metropolitan Municipality",Baba Pouch!,80
2,"Prams, Cots & Equipment :  Mangaung Metropolitan Municipality",Baby Camp Cot,450
0,"Prams, Cots & Equipment :  Matlosana Local Municipality",Camper Puik Toestand,900
0,"Prams, Cots & Equipment :  Matlosana Local Municipality",Baby Stroller For Sale,1200
0,"Prams, Cots & Equipment :  Matlosana Local Municipality",Bear Camper Mint,500
1,"Prams, Cots & Equipment :  Matlosana Local Municipality",Celino Kar Stoel,1250
0,"Prams, Cots & Equipment :  Matlosana Local Municipality",Nuk Bottles For Sale!,300
0,"Prams, Cots & Equipment :  Matlosana Local Municipality",Tommy Tippy Bottle Warmer,300
0,"Prams, Cots & Equipment :  Matlosana Local Municipality",Cot And Camper Like New,1000
0,"Prams, Cots & Equipment :  Matlosana Local Municipality",Brandnew Nappybag,200
0,"Prams, Cots & Equipment :  Matlosana Local Municipality",Wit Plastiek Badstoeltjie.,60
0,"Prams, Cots & Equipment :  Matlosana Local Municipality",Splinter Nuwe Karstoel,500
0,"Prams, Cots & Equipment :  Matlosana Local Municipality",Kinderstoeltjies Te Koop,499
0,"Prams, Cots & Equipment :  Matlosana Local Municipality",Angel Camping Cot,700
1,"Prams, Cots & Equipment :  Matlosana Local Municipality",Celino Kar Stoel,1250
0,"Prams, Cots & Equipment :  Matlosana Local Municipality",Carseat Carier,250
0,"Prams, Cots & Equipment :  Matlosana Local Municipality",Graco Baby Swing,650
0,"Prams, Cots & Equipment :  Matlosana Local Municipality",Tommy Tippy Anti Colic Bottles,150
2,"Prams, Cots & Equipment :  Matlosana Local Municipality",Baba Waentjie Met Karsitplek,2500
0,"Prams, Cots & Equipment :  Matlosana Local Municipality",Fisherprice Baby Swing,800
0,"Prams, Cots & Equipment :  Matlosana Local Municipality",Breastfeeding Pillow,150
0,"Prams, Cots & Equipment :  Nelson Mandela Bay Metropolitan Municipality",Cot For Sale - Solid Wood,600
0,"Prams, Cots & Equipment :  Nelson Mandela Bay Metropolitan Municipality",Kiddies Chair,140
0,"Prams, Cots & Equipment :  Nelson Mandela Bay Metropolitan Municipality",Chelino Baby Car Seat,400
0,"Prams, Cots & Equipment :  Nelson Mandela Bay Metropolitan Municipality","Graco Pram , Baby Rocker",250
0,"Prams, Cots & Equipment :  Nelson Mandela Bay Metropolitan Municipality",Tiny Love 3 In 1 Rocker,900
0,"Prams, Cots & Equipment :  Nelson Mandela Bay Metropolitan Municipality",Hou Baba Desig Vir Uure,600
0,"Prams, Cots & Equipment :  Nelson Mandela Bay Metropolitan Municipality",Baby Cot Duvets And Pillow Slips,170
0,"Prams, Cots & Equipment :  Nelson Mandela Bay Metropolitan Municipality",Chelino Twin/Tandem Stroler,1800
0,"Prams, Cots & Equipment :  Nelson Mandela Bay Metropolitan Municipality",Selling Pram,650
0,"Prams, Cots & Equipment :  Nelson Mandela Bay Metropolitan Municipality",Pink Harmony Vibrating Chair,400
0,"Prams, Cots & Equipment :  Nelson Mandela Bay Metropolitan Municipality",Baby Pram,600
0,"Prams, Cots & Equipment :  Nelson Mandela Bay Metropolitan Municipality",Me & U Pram For Sale,500
1,"Prams, Cots & Equipment :  Nelson Mandela Bay Metropolitan Municipality",Nappy Dispenser,400
1,"Prams, Cots & Equipment :  Nelson Mandela Bay Metropolitan Municipality",Angelcare Nappy Bin,200
1,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",16 Inch Princess Bicycle,999
1,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Brand New Bounce Pram,699
0,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Minnie Mouse Bed With Mattress,2714
3,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",White Wood Cot,1650
1,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Hi I Am Selling Kids Pants,200
4,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Fisher-Price Potty For Ur Little One,400
3,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Little One Camp Cot,700
3,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Camp Cot,50000
0,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Minnie Mouse Bed With Mattress,2714
0,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Doll Play House,600
4,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Mickey Mouse Potty,300
2,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Bmw Baby Car Seat (Isofix),3500
0,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Minnie Mouse Bed With Mattress,2714
3,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Solid Wood Baby Cot,950
2,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Disney Baby Walker,1500
1,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Chelino Pram In Good Condition,550
0,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Minnie Mouse Bed With Mattress,2714
2,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Baby Stuff,1800
2,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Angelcare Movement & Sound Baby Monitor,800
2,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality","Bargain Bargain!!! Graco Travel System, Campcot + Rocking Chair R1500",1500
2,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Wooden Rocking Chair,1100
3,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Chelino Camp Cot,850
1,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Walking Ring,250
1,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Pram And Car Seat Combo,1000
3,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",For Sale: Mahogany Sleigh Cot Excellent Condition,3400
4,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Graco Pram And Car Seat And Fisher Price Rocker For Sale,1500
1,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Baby Pram In Excellent Condition,600
2,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Baby High Chair,350
0,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Intex Play Pen,200
2,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",White Baby Compactum,1800
2,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality",Baby Bath Tub With Stand,450
1,"Prams, Cots & Equipment :  eThekwini Metropolitan Municipality","Walking Ring, As New",300
0,"Prams, Cots & Equipment : Other-SA",Toddler Bed,600
1,"Prams, Cots & Equipment : Other-SA",Chico Baby Car Seat,400
1,"Prams, Cots & Equipment : Other-SA",Red Baby Car Seat,300
0,"Prams, Cots & Equipment : Other-SA",Jacket,150
0,"Prams, Cots & Equipment : Other-SA",Goodbaby Feeding Chair,350
0,"Prams, Cots & Equipment : Other-SA",Snookums Warmer,200
3,"Prams, Cots & Equipment : Other-SA",Mahogany Sleigh Cot,2000
0,"Prams, Cots & Equipment : Other-SA",Goodbaby Chair And Feeding Chair,500
2,"Prams, Cots & Equipment : Other-SA",Cadii Box Tas Te Koop,350
0,"Prams, Cots & Equipment : Other-SA",Jeep Bsby Carrier,300
0,"Prams, Cots & Equipment : Other-SA",Tommee Tippee Electric Breast Pump,900
0,"Prams, Cots & Equipment : Other-SA",Medela Maxi Swing Double Electric Breast Pump,2500
3,"Prams, Cots & Equipment : Other-SA",Deryan Peuter Box (Travel/Camp Cot),1800
4,"Prams, Cots & Equipment : Other-SA",Baby Chair,100
0,"Prams, Cots & Equipment : Other-SA",Chelino Pram/Stroller,600
1,"Prams, Cots & Equipment : Other-SA",Baby Car Seater,300
0,"Prams, Cots & Equipment : Other-SA",Rocking Chair With Foot Rest,200
4,"Prams, Cots & Equipment : Other-SA",Baby Walking Ring,390
3,"Prams, Cots & Equipment : Other-SA",Camping Cot. Loopring,450
0,"Prams, Cots & Equipment : Other-SA",Carseat And Bathstand For Babygirl,1400
0,"Prams, Cots & Equipment : Other-SA",Carseat And Bath For Babygirl,1800
0,"Prams, Cots & Equipment : Other-SA","Stokke Pram For Sale, Bargain",10000
4,"Prams, Cots & Equipment : Other-SA",Baby Swing,150
0,"Prams, Cots & Equipment : Other-SA",Icandy Peach 2 In Black Magic With Accessories,2000
3,"Prams, Cots & Equipment : Other-SA",Little One Cot,900
3,"Prams, Cots & Equipment : Other-SA",Little One Cot,900
0,"Prams, Cots & Equipment : Other-SA",3 In 1 Mima Complete Edition Stroller With Starter Pack,7809
0,"Prams, Cots & Equipment : Other-SA",Compactum,500
0,"Prams, Cots & Equipment : Other-SA",Cot And Compactum For Sale!,5000
0,"Prams, Cots & Equipment : Other-SA",Baby Feeding Chair For Sale,150
0,"Prams, Cots & Equipment : Other-SA",Mini Mouse Chair,600
2,"Prams, Cots & Equipment : Other-SA",Baba Goed Te Koop,500
2,"Prams, Cots & Equipment : Other-SA",Baba Monitor Te Koop,300
1,"Prams, Cots & Equipment : Other-SA",Pram Stokke Ezi Car Seat,7000
1,"Prams, Cots & Equipment : Other-SA",Graco Booster Seat,400
1,"Prams, Cots & Equipment : Other-SA",Chicco Isofix Car Seat,1000
3,"Prams, Cots & Equipment : Other-SA",Wooden Cot Bed,1100
3,"Prams, Cots & Equipment : Other-SA",Wooden Cot Bed,1100
3,"Prams, Cots & Equipment : Other-SA",Baby Camping Cot,2500
0,"Prams, Cots & Equipment : Other-SA",Winnie The Pooh Walking Ring,450
0,"Prams, Cots & Equipment : Other-SA",Breast Pump,800
3,"Prams, Cots & Equipment : Other-SA",Carrie Cot,400
4,"Prams, Cots & Equipment : Other-SA",Baby Bath Station,450
4,"Prams, Cots & Equipment : Other-SA",Baby Combo,100
1,"Prams, Cots & Equipment : Other-SA",Cars Themed Booster Seat,700
0,"Prams, Cots & Equipment : Other-SA",Rocking Chair For Sale,1000
4,"Prams, Cots & Equipment : Other-SA",Baby Goods,250
0,"Prams, Cots & Equipment : Other-SA",Brand New Madela Swing Breast Pump,1500
0,"Prams, Cots & Equipment : Other-SA",Bimbo & Bath Combo,250
0,"Prams, Cots & Equipment : Other-SA",Karstoeltjie,300
0,"Prams, Cots & Equipment : Other-SA",Kiddies Bed,750
1,"Prams, Cots & Equipment : Other-SA",Cot And Car Seat,1500
1,"Prams, Cots & Equipment : Other-SA",2X Nania Driver Car Seats,1000
3,"Prams, Cots & Equipment : Other-SA",Pink Chelino 6 In 1 Cot,1195
0,"Prams, Cots & Equipment : Other-SA",Black Stroller,800
4,"Prams, Cots & Equipment : Other-SA",Graco Baby Swing,500
0,"Prams, Cots & Equipment : Other-SA",Jumping Castles Water Slide Kiddies Tables Chairs For Hire,500
4,"Prams, Cots & Equipment : Other-SA",Baby Equipmen,600
4,"Prams, Cots & Equipment : Other-SA",Baby Equipmen,600
0,"Prams, Cots & Equipment : Other-SA",For Sale,350
0,"Prams, Cots & Equipment : Other-SA",Baby/Toddler Feeding Chair,265
4,"Prams, Cots & Equipment : Other-SA",Baby Products,2100
0,"Prams, Cots & Equipment : Other-SA",Walking Ring,700
0,"Prams, Cots & Equipment : Other-SA",Pram And Car Chair,2000
0,"Prams, Cots & Equipment : Other-SA",Rocker -Harley Bike - New,2600
4,"Prams, Cots & Equipment : Other-SA",Baby Pram,600
0,Toddler's Clothing & Accessories :  City of Cape Town,Baby Sleepsuits X 18,300
0,Toddler's Clothing & Accessories :  City of Cape Town,2 Size 5 Dresses From America In Excellent Used Condition,70
0,Toddler's Clothing & Accessories :  City of Cape Town,Kiddies,50
0,Toddler's Clothing & Accessories :  City of Cape Town,Toddler Levi Dungree 12-18Months,150
0,Toddler's Clothing & Accessories :  City of Cape Town,Bakugan Themed Rain Boots (Size 13),40
0,Toddler's Clothing & Accessories :  City of Cape Town,Baby Clothes Black Bag For Sale,500
0,Toddler's Clothing & Accessories :  City of Cape Town,Second Hand Baby Girl Clothing,10
0,Toddler's Clothing & Accessories :  City of Cape Town,Snuggletime Preggie Pillow,80
1,Toddler's Clothing & Accessories :  City of Cape Town,Woolworths Baby Shoes,50
0,Toddler's Clothing & Accessories :  City of Cape Town,Nido 3,220
1,Toddler's Clothing & Accessories :  City of Cape Town,Variety Of Girls Shoes,250
1,Toddler's Clothing & Accessories :  City of Cape Town,Baby Shoes 0-6 Months,100
2,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality,Imported Mink Baby Blanket!!,199
0,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality,Snuggle Time Wedge Pillow. And The Sling Thing. And Nappies.,640
0,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality,Baby 4 In 1 Play Toy,150
2,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality,Baby Blankets,25
2,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality,Baby Body Suits - 0 To 24 Months,160
0,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality,Kiepie Crawley Swimming Aid,250
0,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality,Toddler Girls Dresses,200
0,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality,Polar Fleece Blankets,180
0,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality,Elephant Support Cushions,399
0,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality,Humidifier,199
2,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality,"Secondhand Baby Clothes For Sale, Lots And Lots",1111
2,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality,Baby Nursery Wall Decor,40
2,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality,Baby Clothes,70
2,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality,2-3 Year Boys Clothes,300
1,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality,Boys Clothing,150
0,Toddler's Clothing & Accessories :  City of Ekurhuleni Metropolitan Municipality,Blankies,25
1,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality,Used Baby Girl Clothings,750
0,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality,Diy Amazing Gogo,100
0,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality,Educational Toys For Pre Schools And Grade R Rr Rrr,100
0,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality,Boys Trackpant,20
0,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality,Soccer Jumpsuits For Sale,280
0,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality,Doll Clothes,550
2,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality,Girls Shoes - Toddler Sizes 8 And 9,40
2,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality,Newborn And 0-3 Month Boys Clothes.,10
0,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality,Brand New Heart Frames,45
2,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality,12 To 18 Moth Toddler Girls Clothing,300
0,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality,Camping Cot,1000
1,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality,250 Items Baby Clothes,1100
2,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality,New Clothes For 1Year Pram Walking Ring,500
0,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality,Various,350
1,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality,2-3 Yr Girl Winter Bundle,70
1,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality,Baby Cot,1200
0,Toddler's Clothing & Accessories :  City of Tshwane Metropolitan Municipality,Left Foot Size 10,1E+12
0,Toddler's Clothing & Accessories :  City of Tshwane Metropolitan Municipality,Bby Twin Seat,750
0,Toddler's Clothing & Accessories :  City of Tshwane Metropolitan Municipality,Girls Clothes. 3 - 6 Months.,200
0,Toddler's Clothing & Accessories :  City of Tshwane Metropolitan Municipality,Baby Name Numerology Services,144
0,Toddler's Clothing & Accessories :  City of Tshwane Metropolitan Municipality,Branded Baby Girl Clothes,50
0,Toddler's Clothing & Accessories :  City of Tshwane Metropolitan Municipality,Sharpei Puppy,600
0,Toddler's Clothing & Accessories :  City of Tshwane Metropolitan Municipality,Personal Gps Tracking For Kids,742
0,Toddler's Clothing & Accessories :  City of Tshwane Metropolitan Municipality,Girls Shoes For Sale Size 8,400
0,Toddler's Clothing & Accessories :  City of Tshwane Metropolitan Municipality,New All All Star Converse Leather,350
0,Toddler's Clothing & Accessories :  City of Tshwane Metropolitan Municipality,Spiderman Curtains X 3 Plus 2 Scatter Cushions,450
1,Toddler's Clothing & Accessories :  City of Tshwane Metropolitan Municipality,Baba Goed Te Koop,600
0,Toddler's Clothing & Accessories :  City of Tshwane Metropolitan Municipality,Nike Shoes,250
0,Toddler's Clothing & Accessories :  Emfuleni Local Municipality,Wrist Rattles,60
0,Toddler's Clothing & Accessories :  Emfuleni Local Municipality,Child Bear Photographic Costume Age 1 To 2 Years,200
0,Toddler's Clothing & Accessories :  Emfuleni Local Municipality,Nearly New Kids Clothing,1000
1,Toddler's Clothing & Accessories :  Emfuleni Local Municipality,Beautifull Girls Dresses,150
0,Toddler's Clothing & Accessories :  Matlosana Local Municipality,Baby stuff,950
1,Toddler's Clothing & Accessories :  Nelson Mandela Bay Metropolitan Municipality,18-24 Months Girl Clothes,500
0,Toddler's Clothing & Accessories :  Nelson Mandela Bay Metropolitan Municipality,Naartjie Shirt And Skirt Set,50
0,Toddler's Clothing & Accessories :  Nelson Mandela Bay Metropolitan Municipality,Sling,100
1,Toddler's Clothing & Accessories :  Nelson Mandela Bay Metropolitan Municipality,Geox For Kids,600
1,Toddler's Clothing & Accessories :  Nelson Mandela Bay Metropolitan Municipality,Boys Clothing. Only One Owner. 0-3 Months.,350
1,Toddler's Clothing & Accessories :  eThekwini Metropolitan Municipality,Armani 6/12 Months New,200
1,Toddler's Clothing & Accessories :  eThekwini Metropolitan Municipality,Hulk Mask & Cape,150
0,Toddler's Clothing & Accessories :  eThekwini Metropolitan Municipality,Baby Milk Bottles,250
1,Toddler's Clothing & Accessories :  eThekwini Metropolitan Municipality,Great Gifts For Kidz,140
0,Toddler's Clothing & Accessories :  eThekwini Metropolitan Municipality,Baby Boy'S Clothing 6-12 Mths,120
1,Toddler's Clothing & Accessories :  eThekwini Metropolitan Municipality,Camera Monitor With Sound,250
1,Toddler's Clothing & Accessories :  eThekwini Metropolitan Municipality,Kids Brand New Clothes For Sale,80
1,Toddler's Clothing & Accessories :  eThekwini Metropolitan Municipality,Leapfrog Laptop For Kids,300
0,Toddler's Clothing & Accessories :  eThekwini Metropolitan Municipality,Baby Clothes,60
0,Toddler's Clothing & Accessories : Other-SA,18-24 Months Toddler Clothing Bundle,150
0,Toddler's Clothing & Accessories : Other-SA,Hooded Towels,75
0,Toddler's Clothing & Accessories : Other-SA,Elephant Onesie,350
0,Toddler's Clothing & Accessories : Other-SA,Toddler Girl'S Shoes Size 3 & 4,350
0,Toddler's Clothing & Accessories : Other-SA,Baby Monitoring System (To Swop),123
0,Toddler's Clothing & Accessories : Other-SA,Toddler Spider Man Bed,800
0,Toddler's Clothing & Accessories : Other-SA,2D Muurprent,600
0,Toddler's Clothing & Accessories : Other-SA,Nuk Medium Teets,120
0,Toddler's Clothing & Accessories : Other-SA,Boys Clothing,400
0,Toddler's Clothing & Accessories : Other-SA,Dogtertjie Baba Klere,400
0,Toddler's Clothing & Accessories : Other-SA,Factory Nappies,200
1,Toddler's Clothing & Accessories : Other-SA,Todler Automatic Car,2000
0,Toddler's Clothing & Accessories : Other-SA,Baba Hempies,1
