,level_0,index,Index,item_id,seller_id,listing_title,listing_description,listing_price,category_sk,category_l1_name_en,category_l2_name_en,category_l3_name_en,Final_Area,Key
81,68,5355,5355,5355,4781,Sangoma,",BEST AND REAL SPELL CASTER /Quick results guaranteed!!! Best Love Spell Caster,Love Spells Lost Lover Spells,Witchcraft Spells,love spell caster,sangoma to bring back lost lover,herbalist healer,herbalist healer to bring back lost herbalist healer,herbali",1200.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
82,69,5411,5411,5411,4828,Angelcare movement and sound monitor,"All equipmet in monitor system 100% functional, un used and  in plistick protection casing. Monitor was only used once and that was by testing the equipment. The system includes the sensitivity pad for movement detection in infants crib",500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
83,72,5630,5630,5630,5014,DIY Amazing GoGo,DIY Amazing GoGo Science Kit - never been used. Collection in Midrand during office hours OR postage/courier at your own cost,100.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Johannesburg Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality
84,73,5766,5766,5766,5123,"Kids Toys, CD's","Toys , CD's",800.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
85,77,5933,5933,5933,5259,Playgro ball playnest - baby gym,Lovingly looked after baby playgym with all balls and connections included. Like new. Brand new the gym costs R1150.,650.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
86,91,7332,7332,7332,6385,bouncy chair,"Bouncy chair with music and vibration mode, good condition with removable teady mobile.",200.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
87,94,7452,7452,7452,6482,Angelcare nappy bin,"Angelcare nappy bin - price reduced to R100

Please whatsapp me on: 071 009 7492",100.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
88,103,8113,8113,8113,7015,Ingenuity Sway seat,Baby sway seat for infants,1800.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
89,104,8115,8115,8115,7017,Baby / Toddler car seat,Baby or toddler car seat. Nania First.  Good condition.,750.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
90,108,8888,8888,8888,7618,Chelino Pram,Chelino pram in very good condition,1000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
91,109,8901,8901,8901,7629,Peg Perego Pliko P3 Switch,Peg Perego Pliko P3 Switch.  Excellent condition.,4000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
92,110,9008,9008,9008,7711,Chicco Car Seat,Great deal - neutral colours,2700.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
93,114,9169,9169,9169,7840,Graco car seat carrier with 2 car seat brackets,Graco car seat and 2 brackets for cars,1500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
94,118,9438,9438,9438,8047,BAMBINO Elite ISOFIX +- 1yr-12yrs (9-36kg) -Just like New,"* 6 Positions adjustable Headrest
* 5 point safety harness system
* Energy absorbing EPS foam
* Side protection system (SPS)
* Seat belt guide Groouop 2 & 3
* 4 position recline",2600.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
95,120,9491,9491,9491,8086,Toddlers bed for sale,"Cream toddlers bed for sale,  Very good condition,  no longer needed.

Cash - R500.00",500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
96,127,10247,10247,10247,8668,Silicone babby bottel nippels,"Playtex Advanced 2 silicone nipples. Shop price R47. I sell it for R30 a packet.
Florida Roodepoort.
0828078797",31.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
97,128,10590,10590,10590,8916,Educational Toys for Pre Schools and Grade R RR RRR,Brand new educational items for sale for pre schools and day care centres,100.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Johannesburg Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality
98,135,11403,11405,11404,9517,Pram for sale,Pram in good condition,650.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
99,137,11566,11568,11567,9646,Chelino baby cot,"Chelino cot bed for sale still brand new bought at R1700 only used once and later had to move to a new smaller place. Collections in Soweto, or we can arrange to meet in jhb cbd\Marshaltown",1100.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
100,140,12005,12007,12006,9973,Boys Trackpant,"Ackermans Brand

R20

we wholesale clothing

0791581103",20.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Johannesburg Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality
101,145,12317,12319,12318,4276,Wooden Baby Cot S023547A,Wooden Baby Cot with mattress in good condition,799.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
102,150,12684,12686,12685,10474,I'm sale weeler and walker,I sale a weeler and a walker in good condition.,650.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
103,154,12808,12810,12809,5014,Toy Pizza,Early Learning Centre Toy Pizza - Brand new and never been opened. Collection in Midrand during office hours OR postage/courier at your own cost,80.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
104,155,12966,12968,12967,2184,Kids Tricycle : Brand new! !,"Cool and fun! Educative and stylish. Suitable for ages 2 +

Cheap and reliable! 

Warranty agreement incl. 

Nationwide delivery! 

Call / Whatsapp : 0843167573.",250.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
105,156,13274,13276,13275,10902,Snuggle Time Car seat cover,"Blue zip snuggle time cover. Easy cover for baby car seat
reversible 
ideal for windy and cold weather",200.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
106,159,13443,13445,13444,11020,Soccer jumpsuits for sale,"Hey there 

I am selling  Soccer  Jumpsuits for kids From R280 to R330.
I have Kaizer chiefs and Orlando pirates jumpsuits  in stock.

Please contact me  on 0848120211 to place your order.

Thanks.",280.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Johannesburg Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality
107,165,13944,13946,13945,11374,Baby Travel bundle,"Peg Perego Travel System, Camp cot and Maclaren stroller all for only R4000.00",4000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
108,166,14018,14020,14019,11431,dream tubes or bed rails,brand new dream tubes.just the same as bed rails only safer.easy to install .,250.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
109,167,14106,14108,14107,11490,Activity table for toddler,"Activity table with loads of buttons and things to keep a little one interested for ages. It has animal sounds, songs and lights all working perfectly.
Just needs batteries other wise in good condition.",400.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
110,176,14641,14643,14642,11882,Fisher price jungle bounce chair,Fisher price jungle bounce chair,300.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
111,178,14770,14772,14771,11980,Peg Perego Pliko P3 Travel System,"Peg Perego Pliko P3 Travel System
Umbrella fold pram - Easy opening and closing. Backrest reclines flat and footrest is also adjustable. Comes with a bottle holder which clips onto the side of the handle. Decent sized storage basket underneath with storag",2500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
112,180,14789,14791,14790,11992,Chicco car seat toddler,In a good condition.9 to 18 kg.,299.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
113,183,14881,14883,14882,4559,Disney Walking Ring,"Grey and Pink Winnie the Pooh Walking Ring

Only a few steps on the clock...
Still in new condition",700.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
114,187,15151,15153,15152,12241,baby walking ring,Baby adjustable walking ring,50.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
115,190,15339,15341,15340,12364,bunk bed with desk,Bunk bed in good condition but we selling it without a chair. The price is a bit negotiable and you can contact me on whats app.,1000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
116,193,15749,15751,15750,12649,Kangaroo weeride.com Child/Toddler bicycle seat,"Being in front of you, your child's needs can be heard, seen and attended to more easily while the child's weight enhances rather than impairs bicycle stability due to your child's central position on the bicycle. Weeride offers better communication betwee",600.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
117,196,15919,15921,15920,12765,FISHERPRICE package deal (1 years old),"LEFT TO RIGHT

RAIN FOREST FRIENDS SPACESAVER JUMPEROO
Features:
Bouncy, Jumping, motor-skill building
Lightweight in a portable, height adjustable space saving design
Retails: R 1999

NEWBORN to TODDLER PLAY GYM
Features:
 3 way ""grow with me""st",3500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
118,200,16042,16044,16043,12851,Carry cot,Chelino carry cot,200.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
119,201,16065,16067,16066,26,Blue pram,Blue fold up pram,350.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
120,243,19213,19215,19214,15010,slee cot,Still in good condition,1500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
121,248,19700,19702,19701,15336,Doll clothes,"Selling on behalf of my daughter doll clothes, 22 sets all for R550.",550.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Johannesburg Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality
122,256,20784,20786,20785,16067,Graco travel system,"Graco travel system with base, all in good condition.",2000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
123,257,20824,20826,20825,16090,pram for sale,Baby pram for sale,200.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
124,258,20825,20827,20826,5259,Medela double electric breast pump,"Medela double electric breast pump. Perfectly looked after. Includes city travelled carry bag, cooler bag and extra bottles.",6500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
125,260,20995,20997,20996,16210,Baby Decor,baby decor,100.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
126,262,21169,21171,21170,16334,Girls shoes - toddler sizes 8 and 9,Variety of girls shoes. Toddler sizes 8 and 9. Few my daughter barely wore. Prices ranging from R40 upwards.,40.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Johannesburg Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality
127,268,21426,21428,21427,16508,Maxi Cosi car seat,Car seat for babies black and white in good condition,400.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
128,270,21469,21471,21470,16541,Newborn and 0-3 month boys clothes.,"Ackermans
Woolies
Cotton on
Still in good condition
R10-50 a piece",10.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Johannesburg Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality
129,271,21492,21494,21493,1014,Baby feeding pillows,2 feeding pillows. Still as good as new. Both for 300,300.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
130,277,21662,21664,21663,16667,Graco Eco Trio travel set,"Good condition pram, car seat and basonette. Black and grey.",4500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
131,281,21970,21972,21971,16862,"Angelcare AC1300 - Video, Movement & Sound Monitor","Angelcare AC1300
Video, Movement and Sound Monitor.
Includes: 
- Nursery Unit (Includes Nursery night light)
- Rechargeable Parent Unit with enclosed lithium battery
- Movement Sensor Pad with cord covers (under the mattress 
  movement sensor pad)
",2500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
132,284,22339,22341,22340,17095,Peg Perego Twin Pram in excellent condition,Selling a beautiful state of the art peg perego twin side by side pram. This is the best twin pram on the market as it fits through any door and it's really light to push and easy to fold. It fits easily into most car boots. It's also in really good condit,2900.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
133,287,22537,22539,22538,17218,Mahogany Sleigh Baby Cot that converts into 3/4 Bed,"Mahogany Sleigh Baby Cot that converts into 3/4 Bed
Cot mattress included but not bed mattress.
Small chips on the bed foots",3500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
134,288,22579,22581,22580,17246,Quinny Moodd Pram in Immaculate Condition,"Red Quinny Moodd Pram available that has been used a handful of times as this was my secondary Pram.
Not a scratch of scuff on
The Moodd unfolds automatically.
Two Way Reclining Seat
Swivel Wheel and Wheel Suspension.
Adjustable Footrest
Water Resist",7500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
135,292,22834,22836,22835,17397,Baby stuff,"Kiddies gates x2 R500 for both
Kids feeding chair which can also convert to a kiddies table R300
Kiddies tri-cycle R350
Kiddies walker R200",1.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
136,295,23397,23399,23398,8486,Graco Camp Cot,"Graco Camp Cot for sale, in excellent condition, available with bed and accessories. Feel free to WhatsApp me on 073 551 6777",950.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
137,303,24130,24132,24131,8347,Baby swing chair,"Seat belts
Converts into toddler chair",300.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
138,318,25381,25383,25382,18993,Chelino Baby Sling,Baby Sling still excellent condition. Very Secure and comfortable for carrying baby with,200.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
139,321,25484,25486,25485,19059,Baby Swing,Plays music and swings. Perfect for rocking baby to sleep or just entertaining baby while you are busy with chores,300.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
140,325,25684,25686,25685,19200,Brand new Bumbo floor seat,Brand new Bumbo floor seat - Red,400.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
141,327,25748,25750,25749,7022,GREAT PRICE! Breast pump,Manual breast pump. Almost new. Shops price is R270,150.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
142,331,26485,26487,26486,19708,Pigeon bottle and food warmer,In excellent condition,150.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
143,335,26641,26643,26642,19801,Graco Baby cot,This beautiful cot is up for grabs.,2500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
144,337,26799,26801,26800,18387,Baby Nursery Decor,Perfect decor for a neutral nursery. Two canvas frames and wall stickers that have not been used. All from Mr Price Home and the same theme and colour.,150.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
145,338,26856,26858,26857,19950,Brand New Heart Frames,Brand New Heart Frames,45.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Johannesburg Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality
146,341,27172,27174,27173,20160,Nursing pillow,Blue nursing pillow,100.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
147,346,27912,27914,27913,13115,12 to 18 moth toddler girls clothing,"23 items for sale, can be collected in Randburg during the week or Alberton and Jhb South on the weekends.",300.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Johannesburg Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality
148,353,28615,28617,28616,21051,Camping Cot,"Like new
Mosquito Net
Insert layer for newborns
Additional toy storage tray
Compact once folded",1000.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Johannesburg Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality
149,355,28781,28783,28782,21152,Angelcare monitor,Angel care monitor in great working condition,200.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
150,356,28837,28839,28838,13427,Various Baby Toys,Various baby toys in good condition.,300.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
151,359,29109,29111,29110,21350,Pram and infant seat,Chelino urban detour,1000.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
152,362,29311,29313,29312,21463,mirror for rear facing car seat,"Diono baby mirror for rear facing car seat , retails for R259.99 looking for R150 Neg",150.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
153,367,29686,29688,29687,21708,250 items baby clothes,"From 3m. Upward to 3years . . Girl mix with boy clothes (no bib,no sock) few veas only )  vall of 250 items for R1100.  All good condition. 0603009747",1100.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Johannesburg Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality
154,377,30267,30269,30268,22035,Play mat set,"play mat in original packaging, excellent condition, R500 or closest offer. thanks
able to meet in west rand or auckland park.",500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
155,378,30291,30293,30292,22050,Good quality pram,Good quality pram. Good condition.,1400.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
156,379,30396,30398,30397,22112,"hello im selling my staff ASAP,price neg","very good condition,im selling bcoz im relocating,prices are neg",500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
157,381,30472,30474,30473,11490,Baby tummy time mat,"This baby mat was a gift that was unfortunately give after my boy was already walking. It is in perfect condition. 
It has a toy with interchangeable animal heads that runs back and forth on a track and plays music. It comes with a support cushion and rol",400.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
158,388,30788,30790,30789,22340,New jungle gym R12500.00 Free delivery and Installation,"4 x [ 1.2m x 1.2m] platforms, 2 x [ wooden roofs] , chain bridge, double drums tunnel, double swings, tyre tower, tyre ladder, pole ladder, Slide, and fireman pole

We move and restore jungle gyms",12500.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
159,390,30941,30943,30942,22421,Bambino child car seat 15-36kg,Very good condition and clean,800.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
160,398,31548,31550,31549,22765,New clothes for 1year pram walking ring,Girls clothes,500.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Johannesburg Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality
161,403,31841,31843,31842,560,Video baby monitor,"Wireless Colour Handheld video monitor.
Second hand and in excellent condition, cash on delivery.",900.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
162,404,31952,31954,31953,22990,Various,"1. Skidz activity box (Most items are there) R200 (Value R590) 0 - 6 Months.
2. Owl pillow (Roughly 60cm to 80cm) R200
3. Stokke Maxi Cosi Adapters R150
4. Handmade (Erfenis) Leather Shoes (Newborn, 6 Months, 12 Months and 18-24 Months) Measurements ava",350.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Johannesburg Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality
163,410,32208,32210,32209,23138,R1150-Peg prego feeding chair and cot cum cradle,Good price and in good condition. Interested buyers only contact,1150.0,olx|mea|za|853|856,Kids & Baby,"Prams, Cots & Equipment",Unknown, City of Johannesburg Metropolitan Municipality,"Prams, Cots & Equipment :  City of Johannesburg Metropolitan Municipality"
164,412,32327,32329,32328,10294,2-3 yr girl winter bundle,"3 x winter vests 
2 x polar necks 
1x summer dress 
1x hello kitty hat
1x jersey 
1x tracksuit top 
1x gum boots

Have been well worn by toddler but in fair condition, no holes etc.",70.0,olx|mea|za|853|855,Kids & Baby,Toddler's Clothing & Accessories,Unknown, City of Johannesburg Metropolitan Municipality,Toddler's Clothing & Accessories :  City of Johannesburg Metropolitan Municipality
